GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2013-05-16,41200215,Final,1610612752,1610612754,2012,1610612752,85.0,0.41,0.8240000000000001,0.389,12.0,40.0,1610612754,75.0,0.362,0.5760000000000001,0.316,12.0,43.0,1
2013-05-16,41200236,Final,1610612744,1610612759,2012,1610612744,82.0,0.3879999999999999,0.632,0.25,18.0,40.0,1610612759,94.0,0.452,0.84,0.368,27.0,46.0,0
2013-05-15,41200205,Final,1610612748,1610612741,2012,1610612748,94.0,0.457,0.727,0.286,20.0,32.0,1610612741,91.0,0.44,0.708,0.421,14.0,40.0,1
2013-05-15,41200225,Final,1610612760,1610612763,2012,1610612760,84.0,0.365,0.762,0.24,19.0,44.0,1610612763,88.0,0.37,0.862,0.214,18.0,46.0,0
2013-05-14,41200214,Final,1610612754,1610612752,2012,1610612754,93.0,0.408,0.767,0.32,17.0,54.0,1610612752,82.0,0.356,0.857,0.286,14.0,36.0,1
2013-05-14,41200235,Final,1610612759,1610612744,2012,1610612759,109.0,0.519,0.76,0.476,30.0,38.0,1610612744,91.0,0.467,0.652,0.375,18.0,36.0,1
2013-05-13,41200204,Final,1610612741,1610612748,2012,1610612741,65.0,0.257,0.7809999999999999,0.118,12.0,46.0,1610612748,88.0,0.485,0.762,0.3329999999999999,24.0,36.0,0
2013-05-13,41200224,Final,1610612763,1610612760,2012,1610612763,103.0,0.4039999999999999,0.862,0.353,18.0,41.0,1610612760,97.0,0.43,0.909,0.45,19.0,44.0,1
2013-05-12,41200234,Final,1610612744,1610612759,2012,1610612744,97.0,0.38,0.8,0.389,19.0,65.0,1610612759,87.0,0.355,0.56,0.259,17.0,51.0,1
2013-05-11,41200223,Final,1610612763,1610612760,2012,1610612763,87.0,0.405,0.821,0.286,16.0,44.0,1610612760,81.0,0.364,0.632,0.278,10.0,51.0,1
2013-05-11,41200213,Final,1610612754,1610612752,2012,1610612754,82.0,0.35,0.696,0.303,14.0,53.0,1610612752,71.0,0.352,0.72,0.273,11.0,41.0,1
2013-05-10,41200203,Final,1610612741,1610612748,2012,1610612741,94.0,0.455,0.68,0.318,21.0,37.0,1610612748,104.0,0.5,0.867,0.4,21.0,39.0,0
2013-05-10,41200233,Final,1610612744,1610612759,2012,1610612744,92.0,0.3929999999999999,0.8,0.316,20.0,48.0,1610612759,102.0,0.506,0.696,0.3,21.0,41.0,0
2013-05-08,41200202,Final,1610612748,1610612741,2012,1610612748,115.0,0.6,0.759,0.5,29.0,41.0,1610612741,78.0,0.355,0.7140000000000001,0.391,17.0,28.0,1
2013-05-08,41200232,Final,1610612759,1610612744,2012,1610612759,91.0,0.3929999999999999,0.667,0.238,14.0,48.0,1610612744,100.0,0.452,0.65,0.478,19.0,50.0,0
2013-05-07,41200212,Final,1610612752,1610612754,2012,1610612752,105.0,0.494,0.7,0.3329999999999999,20.0,37.0,1610612754,79.0,0.455,0.611,0.32,19.0,35.0,1
2013-05-07,41200222,Final,1610612760,1610612763,2012,1610612760,93.0,0.429,0.889,0.375,17.0,35.0,1610612763,99.0,0.419,0.7190000000000001,0.267,22.0,43.0,0
2013-05-06,41200201,Final,1610612748,1610612741,2012,1610612748,86.0,0.397,0.68,0.292,20.0,32.0,1610612741,93.0,0.4370000000000001,0.828,0.389,20.0,46.0,0
2013-05-06,41200231,Final,1610612759,1610612744,2012,1610612759,129.0,0.4379999999999999,0.857,0.5,26.0,45.0,1610612744,127.0,0.51,0.583,0.3670000000000001,23.0,55.0,1
2013-05-05,41200221,Final,1610612760,1610612763,2012,1610612760,93.0,0.413,0.88,0.3329999999999999,13.0,43.0,1610612763,91.0,0.4270000000000001,0.583,0.368,13.0,41.0,1
2013-05-05,41200211,Final,1610612752,1610612754,2012,1610612752,95.0,0.4320000000000001,0.7829999999999999,0.368,15.0,30.0,1610612754,102.0,0.487,0.769,0.348,21.0,44.0,0
2013-05-04,41200137,Final,1610612751,1610612741,2012,1610612751,93.0,0.407,0.75,0.32,21.0,43.0,1610612741,99.0,0.488,0.923,0.3329999999999999,20.0,40.0,0
2013-05-03,41200116,Final,1610612738,1610612752,2012,1610612738,80.0,0.381,0.7879999999999999,0.273,13.0,35.0,1610612752,88.0,0.418,0.813,0.429,18.0,42.0,0
2013-05-03,41200126,Final,1610612737,1610612754,2012,1610612737,73.0,0.3329999999999999,0.9,0.158,12.0,35.0,1610612754,81.0,0.421,0.667,0.2,17.0,53.0,0
2013-05-03,41200146,Final,1610612745,1610612760,2012,1610612745,94.0,0.411,0.645,0.4379999999999999,16.0,43.0,1610612760,103.0,0.4579999999999999,1.0,0.407,21.0,41.0,0
2013-05-03,41200176,Final,1610612763,1610612746,2012,1610612763,118.0,0.507,0.809,0.421,27.0,34.0,1610612746,105.0,0.526,0.667,0.35,19.0,35.0,1
2013-05-02,41200136,Final,1610612741,1610612751,2012,1610612741,92.0,0.4039999999999999,0.722,0.389,23.0,46.0,1610612751,95.0,0.43,0.667,0.357,21.0,41.0,0
2013-05-02,41200166,Final,1610612744,1610612743,2012,1610612744,92.0,0.4029999999999999,0.958,0.28,17.0,55.0,1610612743,88.0,0.347,0.619,0.25,18.0,44.0,1
2013-05-01,41200115,Final,1610612752,1610612738,2012,1610612752,86.0,0.395,0.85,0.2269999999999999,13.0,39.0,1610612738,92.0,0.457,1.0,0.5,20.0,41.0,0
2013-05-01,41200125,Final,1610612754,1610612737,2012,1610612754,106.0,0.507,0.8290000000000001,0.368,24.0,51.0,1610612737,83.0,0.3329999999999999,0.8109999999999999,0.214,14.0,28.0,1
2013-05-01,41200145,Final,1610612760,1610612745,2012,1610612760,100.0,0.419,0.7140000000000001,0.242,20.0,43.0,1610612745,107.0,0.472,0.6759999999999999,0.4,15.0,42.0,0
2013-04-30,41200165,Final,1610612743,1610612744,2012,1610612743,107.0,0.4270000000000001,0.778,0.37,26.0,46.0,1610612744,100.0,0.4320000000000001,0.76,0.3929999999999999,20.0,42.0,1
2013-04-30,41200175,Final,1610612746,1610612763,2012,1610612746,93.0,0.442,0.76,0.353,19.0,40.0,1610612763,103.0,0.435,0.7879999999999999,0.3,19.0,42.0,0
2013-04-29,41200135,Final,1610612751,1610612741,2012,1610612751,110.0,0.5,0.87,0.353,19.0,44.0,1610612741,91.0,0.493,0.722,0.3329999999999999,20.0,33.0,1
2013-04-29,41200124,Final,1610612737,1610612754,2012,1610612737,102.0,0.446,0.6579999999999999,0.4579999999999999,24.0,46.0,1610612754,91.0,0.381,0.8,0.304,22.0,45.0,1
2013-04-29,41200144,Final,1610612745,1610612760,2012,1610612745,105.0,0.487,0.792,0.444,21.0,39.0,1610612760,103.0,0.486,0.88,0.44,18.0,36.0,1
2013-04-28,41200114,Final,1610612738,1610612752,2012,1610612738,97.0,0.447,0.875,0.364,22.0,40.0,1610612752,90.0,0.344,0.75,0.233,10.0,54.0,1
2013-04-28,41200104,Final,1610612749,1610612748,2012,1610612749,77.0,0.37,0.733,0.273,19.0,37.0,1610612748,88.0,0.466,0.684,0.2689999999999999,24.0,42.0,0
2013-04-28,41200154,Final,1610612747,1610612759,2012,1610612747,82.0,0.474,0.417,0.294,22.0,41.0,1610612759,103.0,0.4639999999999999,0.87,0.313,24.0,40.0,0
2013-04-28,41200164,Final,1610612744,1610612743,2012,1610612744,115.0,0.557,0.696,0.423,27.0,29.0,1610612743,101.0,0.465,0.763,0.3,14.0,37.0,1
2013-04-27,41200134,Final,1610612741,1610612751,2012,1610612741,142.0,0.532,0.69,0.316,34.0,46.0,1610612751,134.0,0.495,0.644,0.375,23.0,47.0,1
2013-04-27,41200174,Final,1610612763,1610612746,2012,1610612763,104.0,0.506,0.759,0.3329999999999999,25.0,45.0,1610612746,83.0,0.41,0.882,0.19,17.0,28.0,1
2013-04-27,41200123,Final,1610612737,1610612754,2012,1610612737,90.0,0.4270000000000001,0.5710000000000001,0.267,17.0,48.0,1610612754,69.0,0.272,0.75,0.16,10.0,52.0,1
2013-04-27,41200143,Final,1610612745,1610612760,2012,1610612745,101.0,0.434,0.68,0.324,23.0,41.0,1610612760,104.0,0.379,0.933,0.385,14.0,49.0,0
2013-04-26,41200113,Final,1610612738,1610612752,2012,1610612738,76.0,0.4,0.778,0.316,14.0,41.0,1610612752,90.0,0.5,0.375,0.407,22.0,37.0,0
2013-04-26,41200153,Final,1610612747,1610612759,2012,1610612747,89.0,0.4320000000000001,0.6,0.2,19.0,35.0,1610612759,120.0,0.612,0.733,0.313,30.0,49.0,0
2013-04-26,41200163,Final,1610612744,1610612743,2012,1610612744,110.0,0.525,0.7829999999999999,0.4,26.0,42.0,1610612743,108.0,0.465,0.778,0.389,26.0,34.0,1
2013-04-25,41200103,Final,1610612749,1610612748,2012,1610612749,91.0,0.4579999999999999,0.621,0.2689999999999999,23.0,38.0,1610612748,104.0,0.519,0.56,0.421,31.0,43.0,0
2013-04-25,41200133,Final,1610612741,1610612751,2012,1610612741,79.0,0.397,0.667,0.2,17.0,48.0,1610612751,76.0,0.346,0.882,0.238,15.0,42.0,1
2013-04-25,41200173,Final,1610612763,1610612746,2012,1610612763,94.0,0.3879999999999999,0.737,0.25,18.0,45.0,1610612746,82.0,0.3879999999999999,0.913,0.391,14.0,33.0,1
2013-04-24,41200142,Final,1610612760,1610612745,2012,1610612760,105.0,0.435,0.833,0.314,20.0,40.0,1610612745,102.0,0.396,0.8,0.286,16.0,57.0,1
2013-04-24,41200122,Final,1610612754,1610612737,2012,1610612754,113.0,0.471,0.7240000000000001,0.4,22.0,47.0,1610612737,98.0,0.494,0.55,0.391,25.0,41.0,1
2013-04-24,41200152,Final,1610612759,1610612747,2012,1610612759,102.0,0.512,0.7859999999999999,0.5,21.0,37.0,1610612747,91.0,0.451,0.6920000000000001,0.364,18.0,40.0,1
2013-04-23,41200102,Final,1610612748,1610612749,2012,1610612748,98.0,0.449,0.846,0.316,17.0,43.0,1610612749,86.0,0.5,0.588,0.222,23.0,33.0,1
2013-04-23,41200112,Final,1610612752,1610612738,2012,1610612752,87.0,0.421,0.727,0.368,14.0,42.0,1610612738,71.0,0.371,0.778,0.263,14.0,37.0,1
2013-04-23,41200162,Final,1610612743,1610612744,2012,1610612743,117.0,0.5,0.757,0.346,27.0,26.0,1610612744,131.0,0.6459999999999999,0.75,0.56,26.0,36.0,0
2013-04-22,41200132,Final,1610612751,1610612741,2012,1610612751,82.0,0.354,0.87,0.19,22.0,39.0,1610612741,90.0,0.481,0.565,0.25,21.0,44.0,0
2013-04-22,41200172,Final,1610612746,1610612763,2012,1610612746,93.0,0.474,0.773,0.133,19.0,40.0,1610612763,91.0,0.452,0.6759999999999999,0.182,16.0,38.0,1
2013-04-21,41200121,Final,1610612754,1610612737,2012,1610612754,107.0,0.449,0.882,0.368,23.0,48.0,1610612737,90.0,0.5,0.5,0.412,23.0,32.0,1
2013-04-21,41200151,Final,1610612759,1610612747,2012,1610612759,91.0,0.376,0.8,0.318,20.0,43.0,1610612747,79.0,0.411,0.667,0.2,15.0,44.0,1
2013-04-21,41200101,Final,1610612748,1610612749,2012,1610612748,110.0,0.5589999999999999,0.818,0.304,22.0,46.0,1610612749,87.0,0.415,0.6,0.2689999999999999,14.0,31.0,1
2013-04-21,41200141,Final,1610612760,1610612745,2012,1610612760,120.0,0.53,0.7859999999999999,0.417,28.0,46.0,1610612745,91.0,0.363,0.708,0.222,17.0,39.0,1
2013-04-20,41200111,Final,1610612752,1610612738,2012,1610612752,85.0,0.405,0.8,0.36,13.0,40.0,1610612738,78.0,0.415,1.0,0.25,18.0,40.0,1
2013-04-20,41200161,Final,1610612743,1610612744,2012,1610612743,97.0,0.447,0.643,0.188,16.0,45.0,1610612744,95.0,0.413,0.733,0.364,27.0,55.0,1
2013-04-20,41200131,Final,1610612751,1610612741,2012,1610612751,106.0,0.5579999999999999,0.8240000000000001,0.429,18.0,39.0,1610612741,89.0,0.474,0.682,0.25,15.0,35.0,1
2013-04-20,41200171,Final,1610612746,1610612763,2012,1610612746,112.0,0.5539999999999999,0.742,0.368,20.0,47.0,1610612763,91.0,0.465,0.8,0.417,22.0,23.0,1
